test,avg_time,avg_memory_mb,avg_cpu_percent,avg_disk_io_bytes
grayscale,0.00019220001995563508,0.0114164,0.0,11711678.0
rotate90,2.131995279341936e-05,0.11353519999999999,0.0,11711678.0
rotate180,8.899997919797897e-06,0.113532,0.0,11711678.0
flipx,8.089980110526084e-06,0.113532,0.0,11711678.0
flipy,8.350028656423092e-06,0.113532,0.0,11711678.0
flipxy,8.180015720427037e-06,0.113532,0.0,11711678.0
blur,0.00010807998478412628,0.113532,0.0,11711678.0
sharpen,0.00016289995983242989,0.1138384,0.0,11711678.0
grayscale,1.8499093130230904e-06,6.4e-05,0.0,11711678.0
sepia,0.00029104002751410005,1.0215334,0.0,11711678.0
crop,3.7499703466892242e-06,0.000152,0.0,11711678.0
resize-pixel,9.679002687335014e-05,0.750096,0.0,11711678.0
batch_grayscale_load,0.04076194998342544,8.6403728,239.58,14966825.5
stress_transformations,0.0009664400247856974,1.0216216,0.0,17785041.0
disk_io_save_reload,0.007560559990815818,0.3878221,120.28,18412432.5
optimized_resize,0.0006844099843874574,0.558055,0.0,18839276.0
